Epoch,Type (TRAIN),Mean Accuracy (TRAIN),Precision (TRAIN),Sensitivity (TRAIN),Specificity (TRAIN),FNR (TRAIN),F1 Score (TRAIN),Epoch,Type (VAL),Mean Accuracy (VAL),Precision (VAL),Sensitivity (VAL),Specificity (VAL),FNR (VAL),F1 Score (VAL),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST)
0,Overall (Macro-Average),11.528150134048257,17.799805245646084,17.75690805686162,81.94331795588423,82.24309194313838,17.57170716697112,0,Overall (Macro-Average),2.1505376344086025,8.736559139784946,25.0,75.0,75.0,12.125194704049843,1,Overall (Macro-Average),38.297872340425535,19.489247311827956,12.916666666666666,87.79761904761905,87.08333333333333,9.771968854282536,1,Overall (Macro-Average),6.382978723404255,15.103112348178136,20.471578054298643,81.07237814269064,79.52842194570135,12.926485279426455
0,Alignment,50.0,54.26008968609865,58.88077858880778,39.1044776119403,41.119221411192214,56.47607934655775,0,Alignment,54.83870967741935,54.83870967741935,100.0,0.0,0.0,70.83333333333333,1,Alignment,56.38297872340425,55.91397849462365,100.0,2.380952380952381,0.0,71.72413793103448,1,Alignment,44.680851063829785,50.0,3.8461538461538463,95.23809523809523,96.15384615384616,7.142857142857143
0,Soft_tissue_Swelling,80.6970509383378,7.042253521126761,6.024096385542169,90.04524886877829,93.97590361445783,6.4935064935064934,0,Soft_tissue_Swelling,89.24731182795699,0.0,0.0,100.0,100.0,0.0,1,Soft_tissue_Swelling,89.36170212765957,0.0,0.0,100.0,100.0,0.0,1,Soft_tissue_Swelling,89.36170212765957,0.0,0.0,100.0,100.0,0.0
0,Listhesis,80.02680965147452,7.6923076923076925,13.114754098360656,85.98540145985402,86.88524590163934,9.696969696969697,0,Listhesis,90.32258064516128,0.0,0.0,100.0,100.0,0.0,1,Listhesis,87.2340425531915,0.0,0.0,100.0,100.0,0.0,1,Listhesis,87.2340425531915,0.0,0.0,100.0,100.0,0.0
0,Fracture,79.62466487935657,8.333333333333332,6.521739130434782,89.90825688073394,93.47826086956522,7.317073170731707,0,Fracture,15.053763440860216,15.053763440860216,100.0,0.0,0.0,26.16822429906542,1,Fracture,81.91489361702128,0.0,0.0,100.0,100.0,0.0,1,Fracture,56.38297872340425,18.421052631578945,41.17647058823529,59.74025974025974,58.82352941176471,25.45454545454545
0,Dislocation,92.76139410187668,2.941176470588235,4.545454545454546,95.44198895027624,95.45454545454545,3.5714285714285716,0,Dislocation,96.7741935483871,0.0,0.0,100.0,100.0,0.0,1,Dislocation,93.61702127659575,0.0,0.0,100.0,100.0,0.0,1,Dislocation,91.48936170212765,0.0,0.0,97.72727272727273,100.0,0.0
0,Spinous,89.67828418230563,2.941176470588235,2.2222222222222223,95.29243937232525,97.77777777777777,2.5316455696202533,0,Spinous,97.84946236559139,0.0,0.0,100.0,100.0,0.0,1,Spinous,94.68085106382979,0.0,0.0,100.0,100.0,0.0,1,Spinous,94.68085106382979,0.0,0.0,100.0,100.0,0.0
0,Other_Pathogens,76.40750670241286,24.210526315789473,18.11023622047244,88.36833602584814,81.88976377952756,20.720720720720724,0,Other_Pathogens,82.79569892473118,0.0,0.0,100.0,100.0,0.0,1,Other_Pathogens,82.97872340425532,0.0,0.0,100.0,100.0,0.0,1,Other_Pathogens,51.06382978723404,21.153846153846153,68.75,47.43589743589743,31.25,32.35294117647059
0,normal,58.98123324396782,34.97757847533632,32.63598326359833,71.40039447731755,67.36401673640168,33.76623376623377,0,normal,67.74193548387096,0.0,0.0,100.0,100.0,0.0,1,normal,69.14893617021278,100.0,3.3333333333333335,100.0,96.66666666666667,6.451612903225808,1,normal,48.93617021276596,31.25,50.0,48.4375,50.0,38.46153846153846
1,Overall (Macro-Average),19.43699731903485,16.478004739084597,14.60854285123398,85.27404983065908,85.39145714876602,14.95264328014416,1,Overall (Macro-Average),0.0,6.586021505376344,37.5,62.5,62.5,10.730627794570351,1,Overall (Macro-Average),38.297872340425535,19.489247311827956,12.916666666666666,87.79761904761905,87.08333333333333,9.771968854282536,1,Overall (Macro-Average),6.382978723404255,15.103112348178136,20.471578054298643,81.07237814269064,79.52842194570135,12.926485279426455
