Epoch,Type (TRAIN),Mean Accuracy (TRAIN),Precision (TRAIN),Sensitivity (TRAIN),Specificity (TRAIN),FNR (TRAIN),F1 Score (TRAIN),Epoch,Type (VAL),Mean Accuracy (VAL),Precision (VAL),Sensitivity (VAL),Specificity (VAL),FNR (VAL),F1 Score (VAL),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST),Epoch,Type (TEST),Mean Accuracy (TEST),Precision (TEST),Sensitivity (TEST),Specificity (TEST),FNR (TEST),F1 Score (TEST)
0,Overall (Macro-Average),6.013456686291001,10.87468139867825,1.8742140179430262,98.12212235319043,98.12578598205698,3.0678518472129594,0,Overall (Macro-Average),12.953367875647666,2.515090543259557,3.132832080200501,97.58403361344538,96.8671679197995,2.7901785714285716,1,Overall (Macro-Average),15.384615384615385,5.951047832346824,6.8916697113628045,95.68401523288742,93.10833028863719,3.4749034749034746,1,Overall (Macro-Average),31.360946745562128,13.495780973551692,13.374027444192219,92.6250569802384,86.62597255580779,12.668972256284487
0,Soft tissue swelling,88.05719091673674,10.0,2.0491803278688523,97.8912839737582,97.95081967213115,3.401360544217687,0,Soft tissue swelling,83.93782383419689,0.0,0.0,100.0,100.0,0.0,1,Soft tissue swelling,81.65680473372781,0.0,0.0,100.0,100.0,0.0,1,Soft tissue swelling,79.88165680473372,0.0,0.0,97.82608695652173,100.0,0.0
0,Joint effusion,78.55340622371742,16.0,0.8113590263691683,98.88594164456234,99.18864097363083,1.5444015444015444,0,Joint effusion,67.87564766839378,0.0,0.0,100.0,100.0,0.0,1,Joint effusion,63.905325443786985,0.0,0.0,100.0,100.0,0.0,1,Joint effusion,65.68047337278107,52.23880597014925,57.377049180327866,70.37037037037037,42.62295081967213,54.6875
0,Distal humerus,94.78553406223718,0.0,0.0,97.40708729472775,100.0,0.0,0,Distal humerus,93.78238341968913,0.0,0.0,100.0,100.0,0.0,1,Distal humerus,94.67455621301775,0.0,0.0,100.0,100.0,0.0,1,Distal humerus,94.67455621301775,0.0,0.0,100.0,100.0,0.0
0,supracondylar,70.60555088309503,43.93939393939394,4.196816208393632,97.8067575577949,95.80318379160637,7.661822985468956,0,supracondylar,54.92227979274611,0.0,0.0,100.0,100.0,0.0,1,supracondylar,49.70414201183432,68.42105263157895,14.130434782608695,92.20779220779221,85.86956521739131,23.423423423423422,1,supracondylar,65.08875739644971,61.702127659574465,94.56521739130434,29.87012987012987,5.434782608695652,74.67811158798283
0,medial epicondyle displaced,94.82758620689656,1.8518518518518516,1.4084507042253522,97.7026441265713,98.59154929577466,1.5999999999999999,0,medial epicondyle displaced,92.74611398963731,0.0,0.0,100.0,100.0,0.0,1,medial epicondyle displaced,95.26627218934911,0.0,0.0,100.0,100.0,0.0,1,medial epicondyle displaced,95.26627218934911,0.0,0.0,100.0,100.0,0.0
0,lateral epicondyle displaced,94.28090832632464,9.67741935483871,2.7027027027027026,98.76488751654169,97.2972972972973,4.225352112676056,0,lateral epicondyle displaced,93.78238341968913,0.0,0.0,100.0,100.0,0.0,1,lateral epicondyle displaced,89.3491124260355,0.0,0.0,100.0,100.0,0.0,1,lateral epicondyle displaced,89.3491124260355,0.0,0.0,100.0,100.0,0.0
0,olecranon,96.76198486122793,3.7037037037037033,1.9230769230769231,98.88220120378331,98.07692307692307,2.531645569620253,0,olecranon,96.89119170984456,0.0,0.0,100.0,100.0,0.0,1,olecranon,96.44970414201184,0.0,0.0,100.0,100.0,0.0,1,olecranon,96.44970414201184,0.0,0.0,100.0,100.0,0.0
0,Elbow dislocation anterior,98.40201850294366,0.0,0.0,98.9010989010989,100.0,0.0,0,Elbow dislocation anterior,98.96373056994818,0.0,0.0,100.0,100.0,0.0,1,Elbow dislocation anterior,98.81656804733728,0.0,0.0,100.0,100.0,0.0,1,Elbow dislocation anterior,98.81656804733728,0.0,0.0,100.0,100.0,0.0
0,Elbow dislocation posterior,96.88814129520605,0.0,0.0,98.84169884169884,100.0,0.0,0,Elbow dislocation posterior,98.96373056994818,0.0,0.0,100.0,100.0,0.0,1,Elbow dislocation posterior,98.81656804733728,0.0,0.0,100.0,100.0,0.0,1,Elbow dislocation posterior,98.81656804733728,0.0,0.0,100.0,100.0,0.0
0,proximal radial,97.5609756097561,0.0,0.0,99.23011120615911,100.0,0.0,0,proximal radial,98.96373056994818,0.0,0.0,100.0,100.0,0.0,1,proximal radial,96.44970414201184,0.0,0.0,100.0,100.0,0.0,1,proximal radial,96.44970414201184,0.0,0.0,100.0,100.0,0.0
0,radial head,98.107653490328,0.0,0.0,98.68866328257191,100.0,0.0,0,radial head,98.96373056994818,0.0,0.0,100.0,100.0,0.0,1,radial head,95.26627218934911,0.0,0.0,100.0,100.0,0.0,1,radial head,95.26627218934911,0.0,0.0,100.0,100.0,0.0
0,radial head subluxation,98.107653490328,0.0,0.0,98.85593220338983,100.0,0.0,0,radial head subluxation,98.96373056994818,0.0,0.0,100.0,100.0,0.0,1,radial head subluxation,98.22485207100591,0.0,0.0,100.0,100.0,0.0,1,radial head subluxation,98.22485207100591,0.0,0.0,100.0,100.0,0.0
0,proximal ulnar metaphysis,97.9394449116905,0.0,0.0,99.06422798809017,100.0,0.0,0,proximal ulnar metaphysis,99.48186528497409,0.0,0.0,100.0,100.0,0.0,1,proximal ulnar metaphysis,97.0414201183432,0.0,0.0,100.0,100.0,0.0,1,proximal ulnar metaphysis,97.0414201183432,0.0,0.0,100.0,100.0,0.0
0,normal,50.7569386038688,67.07317073170732,13.147410358565736,92.78717720391808,86.85258964143426,21.985343104596936,0,normal,59.58549222797927,35.2112676056338,43.859649122807014,66.17647058823529,56.14035087719298,39.0625,1,normal,50.887573964497044,14.893617021276595,82.35294117647058,47.368421052631575,17.647058823529413,25.225225225225223,1,normal,92.3076923076923,75.0,35.294117647058826,98.68421052631578,64.70588235294117,48.00000000000001
1,Overall (Macro-Average),12.068965517241379,9.775290414555311,1.8576181113874046,99.34333616715541,98.14238188861259,3.011175570514873,1,Overall (Macro-Average),23.316062176165804,6.555278361344539,6.887909428744274,94.48727604249247,93.11209057125573,6.407944215253186,1,Overall (Macro-Average),15.384615384615385,5.951047832346824,6.8916697113628045,95.68401523288742,93.10833028863719,3.4749034749034746,1,Overall (Macro-Average),31.360946745562128,13.495780973551692,13.374027444192219,92.6250569802384,86.62597255580779,12.668972256284487
1,Soft tissue swelling,89.73927670311186,0.0,0.0,100.0,100.0,0.0,1,Soft tissue swelling,83.93782383419689,0.0,0.0,100.0,100.0,0.0,1,Soft tissue swelling,81.65680473372781,0.0,0.0,100.0,100.0,0.0,1,Soft tissue swelling,79.88165680473372,0.0,0.0,97.82608695652173,100.0,0.0
